id|name|asciiName|alternateNames|latitude|longitude|countryCode
798549|România|Romania|An Romain,An Rómáin,Errumania,Lomaniya,Lomenia,Lomēnia,Orileede Romaniya,Orílẹ́ède Romaniya,Republica Populara Romina,Republica Populară Romînă,Republica Socialista Romania,Republica Socialistă România,Roemeenje,Roemenie,Roemenië,Romainia,Romainiya,Romani,Romania,Romania - Romania,Romania nutome,Romanica,Romaniei,Romanija,Romaniya,Romanya,Romanìa,Romanía,Romanía - România,Romenia,Rominia,Romunija,Romàinia,Románia,România,Roménia,Romênia,Romînia,Roumaneye,Roumani,Roumania,Roumanie,Ru-ma-ni,Ru-ma-ni-a (Romania),Rumaaniya,Rumaen,Rumaenia,Rumaenien,Rumani,Rumania,Rumanian People's Republic,Rumanian People’s Republic,Rumanien,Rumanii,Rumanija,Rumanio,Rumaniya,Rumanujo,Rumanya,Rumanìa,Rumanía,Rumanïi,Rumeenia,Rumenia,Rumiinii,Ruminia,Ruminija,Rumunia,Rumunija,Rumuniya,Rumunjska,Rumunska,Rumunsko,Rumynia,Rumynija,Rumän,Rumänien,Rumænia,Rumænien,Rumānija,Rwmania,Rúmenía,Socialist Republic of Romania,Socialist Republic of Rumania,Woumani,i-Romania,lumania,luo ma ni ya,prathes romaneiy,romaneiy,romani'a,romanias,romanis,romaniya,romyaniya,rumania,rumaniya,rumeniya,rumineti,rwmany,rwmanya,rwmnyh,rwmʻnyʻ,rۇmynyyە,Ρουμανία,Романија,Руминия,Румунија,Румунія,Румъния,Румыния,Румынія,Ռումինիա,רומניה,רומעניע,رومانيا,رومانی,رومانیا,رۇمىنىيە,ڕۆمانیا,ܪܘܡܢܝܐ,रोमानिया,রুমানিয়া,রুমানিয়া,রোমানিয়া,રોમાનિયા,ରୋମାନିଆ,ருமேனியா,రోమానియా,ರೊಮ್ಯಾನಿಯಾ,റുമേനിയ,රුමේනියාව,ประเทศโรมาเนีย,โรมาเนีย,ລູເມເນຍ,རོ་མཱ་ནིཡ།,ရိုမေးနီးယား,რუმინეთი,ሮማንያ,ሮሜኒያ,ᎶᎹᏂᏯ,រូម៉ានី,ルーマニア,罗马尼亚,羅馬尼亞,루마니아|46.0|25.0|RO
686581|Alba|Alba|Alba,Judetul Alba,Judeţul Alba|46.06817|23.57245|RO
686579|Comuna Albac|Comuna Albac||46.45246|22.95027|RO
686441|Comuna Almaşu Mare|Comuna Almasu Mare||46.10877|23.12038|RO
686166|Comuna Arieşeni|Comuna Arieseni||46.47659|22.75535|RO
686012|Comuna Avram Iancu|Comuna Avram Iancu||46.38333|22.78333|RO
685013|Comuna Berghin|Comuna Berghin||46.07484|23.73768|RO
684673|Comuna Bistra|Comuna Bistra||46.37856|23.1015|RO
684563|Comuna Blândiana|Comuna Blandiana|Comuna Blandiana,Comuna Blindiana,Comuna Blîndiana|45.98146|23.38543|RO
683596|Comuna Bucerdea-Grânoasă|Comuna Bucerdea-Granoasa|Comuna Bucerdea-Girnoasa,Comuna Bucerdea-Grinoasa,Comuna Bucerdea-Grînoasă,Comuna Bucerdea-Gîrnoasa|46.20878|23.85614|RO
683571|Comuna Bucium|Comuna Bucium||46.26131|23.15742|RO
681897|Comuna Câlnic|Comuna Calnic||45.87305|23.64329|RO
682425|Comuna Cenade|Comuna Cenade||46.08045|24.01382|RO
682362|Comuna Cergău|Comuna Cergau||46.09314|23.94597|RO
682279|Comuna Ceru-Băcăinţi|Comuna Ceru-Bacainti||46.00117|23.26983|RO
682257|Comuna Cetatea de Baltă|Comuna Cetatea de Balta||46.21619|24.16716|RO
681465|Comuna Ciugud|Comuna Ciugud||46.06526|23.62794|RO
681367|Comuna Ciuruleasa|Comuna Ciuruleasa||46.24481|23.01644|RO
680372|Comuna Crăciunelu de Jos|Comuna Craciunelu de Jos||46.17285|23.83585|RO
680247|Comuna Cricău|Comuna Cricau||46.18689|23.55309|RO
679874|Comuna Cut|Comuna Cut||45.93972|23.66719|RO
679811|Comuna Daia Română|Comuna Daia Romana||46.00709|23.66816|RO
679049|Comuna Doştat|Comuna Dostat||45.96143|23.83313|RO
678446|Comuna Fărău|Comuna Farau||46.32999|24.04335|RO
677666|Comuna Galda de Jos|Comuna Galda de Jos||46.21776|23.56918|RO
677233|Comuna Gârbova|Comuna Garbova||45.85277|23.68693|RO
677200|Comuna Gârda de Sus|Comuna Garda de Sus||46.46719|22.81519|RO
676036|Comuna Hopârta|Comuna Hoparta||46.33134|23.9034|RO
8305907|Comuna Horea|Comuna Horea||46.50058|22.94915|RO
675701|Comuna Ighiu|Comuna Ighiu||46.14854|23.51232|RO
675580|Comuna Întregalde|Comuna Intregalde||46.24908|23.39213|RO
675250|Comuna Jidvei|Comuna Jidveiu||46.23083|24.11475|RO
674638|Comuna Livezile|Comuna Livezile|Comuna Cacova,Comuna Livezile|46.37559|23.58563|RO
674611|Comuna Lopadea Nouă|Comuna Lopadea Noua||46.27782|23.84975|RO
674382|Comuna Lunca Mureşului|Comuna Lunca Muresului||46.42943|23.93272|RO
674270|Comuna Lupşa|Comuna Lupsa||46.34891|23.20455|RO
673505|Comuna Meteş|Comuna Metes|Metesd,Mettischdorf|46.10543|23.41707|RO
673353|Comuna Mihalţ|Comuna Mihalt|Michelsdorf|46.17641|23.73841|RO
673159|Comuna Mirăslău|Comuna Miraslau|Miriszlo,Miriszló|46.3866|23.69329|RO
672956|Comuna Mogoş|Comuna Mogos||46.28356|23.31873|RO
